index,Question,Answer
130,"Lighting, locks, fences, and guards are all examples of __________ measures
within physical security.
A. physical
B. technical
C. operational
D. exterior","A. Physical security controls fall into three categories: physical, technical, andoperational. Physical measures include lighting, fences, and guards."
131,"A man receives a text message on his phone purporting to be from Technical
Services. The text advises of a security breach and provides a web link and
phone number to follow up on. When the man calls the number, he turns over
sensitive information. Which social engineering attack was this?
A. Phishing
B. Vishing
C. Smishing
D. Man in the middle","C. The term smishing refers to the use of text messages to socially engineer mobiledevice users. By definition it is a mobile-based social engineering attack. As anaside, it also sounds like something a five-year-old would say about killing a bug."
132,"Background checks on employees, risk assessments on devices, and policies
regarding key management and storage are examples of __________ measures
within physical security.
A. physical
B. technical
C. operational
D. None of the above",C. Operational measures are the policies and procedures you set up to enforce asecurity-minded operation.
133,"Your organization installs mantraps in the entranceway. Which of the following
attacks is it attempting to protect against?
A. Shoulder surfing
B. Tailgating
C. Dumpster diving
D. Eavesdropping",B. Mantraps are specifically designed to prevent tailgating.
134,"A security staff is preparing for a security audit and wants to know if additional
security training for the end user would be beneficial. Which of the followingmethods would be the best option for testing the effectiveness of user training inthe environment?
A. Vulnerability scanning
B. Application code reviews
C. Sniffing
D. Social engineering","D. Social engineering is designed to test the human element in the organization.
Of the answers provided, it is the only valid option for testing the effectiveness of
user training"
135,"What marks the major difference between a hacker and an ethical hacker (pen testteam member)?
A. Nothing.
B. Ethical hackers never exploit vulnerabilities; they only point out their existence.
C. The tools they use.
D. The predefined scope and agreement made with the system owner.","D. Pen tests always begin with an agreement with the customer that identifies
the scope and activities. An ethical hacker will never proceed without writtenauthorization."
136,"Which of the following best describes a blue team?
A. Security team members defending a network
B. Security team members attacking a network
C. Security team members with full knowledge of the internal network
D. A performance group at Universal Studios in Orlando",A. Blue teams are defense-oriented. They concentrate on preventing and mitigatingattacks and efforts of the red team/bad guys.
137,"In which phase of a penetration test is scanning performed?
A. Pre-attack
B. Attack
C. Post-attack
D. Reconnaissance",A. All reconnaissance efforts occur in the pre-attack phase.
138,"Which type of security assessment notifies the customer of vulnerabilities but
does not actively or intentionally exploit them?
A. Vulnerability assessment
B. Scanning assessment
C. Penetration test
D. None of the above","A. Vulnerability assessments seek to discover open vulnerabilities on the client’s
systems but do not actively or intentionally exploit any of them."
139,"Which of the following would be a good choice for an automated penetration test?
(Choose two.)
A. Nmap
B. Netcat
C. Core Impact
D. CANVAS","C, D. Core Impact and CANVAS are both automated, all-in-one test tool suitescapable of performing a test for a client. Other tools may be used in conjunctionwith them to spot vulnerabilities, including Nessus, Retina, SAINT, and Sara.
"
140,"Which type of testing is generally faster and costs less but is susceptible to more
false reporting and contract violation?
A. Internal
B. External
C. Manual
D. Automatic","D. Automatic testing involves the use of a tool suite and generally runs faster
than an all-inclusive manual test. However, it is susceptible to false negatives andfalse positives and can oftentimes overrun the scope boundary."
141,"Joe is part of a penetration test team and is starting a test. The client has providedhim a system on one of their subnets but did not provide any authentication
information, network diagrams, or other notable data concerning the systems.
Which type of test is Joe performing?
A. External, white box
B. External, black box
C. Internal, white box
D. Internal, black box","D. Joe is on a system internal to the network and has no knowledge of the target’snetwork. Therefore, he is performing an internal, black-box test."
142,"Which of the following would you find in a final report from a full penetration test?
(Choose all that apply.)
A. Executive summary
B. A list of findings from the test
C. The names of all the participants
D. A list of vulnerabilities patched or otherwise mitigated by the team","A, B, C. The final report for a pen test includes an executive summary, a list of thefindings (usually in order of highest risk), the names of all participants, analysis of
findings, mitigation recommendations, and any logs or other relevant files."
143,"Which type of security assessment is designed to check policies and procedures
within an organization?
A. Security audit
B. Vulnerability assessment
C. Pen test
D. None of the above",A. A security audit is used to verify security policies and procedures in place
144,"Which of the following best describes a red team?
A. Security team members defending a network
B. Security team members attacking a network
C. Security team members with full knowledge of the internal network
D. Security team members dedicated to policy audit review","B. Red teams are on offense. They are employed to go on the attack, simulatingthe bad guys out in the world trying to exploit anything they can find.
"
145,"A security team is implementing various security controls across the organization. After
considering several configurations and applications, a final agreed-on set of security
controls is put into place; however, not all risks are mitigated by the controls. Of the
following, which is the next best step?
A. Continue applying controls until all risk is eliminated.
B. Ignore any remaining risk as “best effort controlled.”
C. Ensure that any remaining risk is residual or low and accept the risk.
D. Remove all controls","C. Remember at the beginning of this chapter when I said the process of eliminationmay be your best bet in some cases? Well, even if you aren’t well-versed in risk
management and security control efforts, you could narrow this down to the correct
answer. It is impossible to remove all risk from any system and still have it usable. I’mcertain there are exceptions to this rule (maybe super-secret machines in undergroundvaults buried deep within the earth, running on geothermal-powered batteries,
without any network access at all and controlled by a single operator who hasn’t seen
daylight in many years), but in general the goal of security teams has always been to
reduce risk to an acceptable level."
146,"A Certified Ethical Hacker (CEH) follows a specific methodology for testing a system.
Which step comes after footprinting in the CEH methodology?
A. Scanning
B. Enumeration
C. Reconnaissance
D. Application attack","A. CEH methodology is laid out this way: reconnaissance (footprinting), scanningand enumeration, gaining access, escalating privileges, maintaining access, andcovering tracks. While you may be groaning about scanning and enumerationboth appearing as answers, they’re placed here in this way on purpose. This examis not only testing your rote memorization of the methodology but also how the
methodology actually works. Remember, after scoping out the recon on your target,
your next step is to scan it. After all, you have to know what targets are there first
before enumerating information about them."
147,"Your organization is planning for the future and is identifying the systems and processes
critical for their continued operation. Which of the following best describes this effort?
A. BCP
B. BIA
C. DRP
D. ALE","B. A business impact analysis (BIA) best matches this description. In a BIA, the
organization looks at all the systems and processes in use and determines which ones
are absolutely critical to continued operation. Additionally, the assessor (the person or
company conducting the analysis) will look at all the existing security architecture andmake an evaluation on the likelihood of any system or resource being compromised.
Part of this is assigning values to systems and services, determining the maximumtolerable downtime (MTD) for any, and identifying any overlooked vulnerabilities."
148,"Which incident response (IR) phase is responsible for setting rules, identifying the
workforce and roles, and creating backup and test plans for the organization?
A. Preparation
B. Identification
C. Containment
D. Recovery","A. So even if you weren’t aware of incident response phases, this one should’ve been
a rather easy guess. In the preparation phase, your IR (incident response) team should
be preparing for an incident. Preparation includes lots of things—some of which are
mentioned here. But virtually anything you can think of that does not involve actions
taken during the incident belongs here. Training, exercises, and policies are all examples.
As an aside, IR phases can be different depending on whom you ask and what
the moon phase is, but generally IR is broken down into six phases: preparation,
identification, containment, eradication, recovery, and lessons learned. Preparation
we already covered. Identification refers to the steps taken to verify it’s actually an
incident, and all the information surrounding that—source, destination(s), exploit
used, malware used, and so on. Containment is the step used to cordon off the
infected system(s) and prevent any further spread of infection or attack. Eradication
refers to steps taken to remove the malware (or other attack-related residuals, such
as backdoors). Recovery involves the steps taken to rebuild and restore the system(s)
and network to pre-attack status (with better security, I might add). Finally, lessons
learned is exactly what it sounds like, and it should feed right back into your
organization’s preparation phase."
149,"You’ve been hired as part of a pen test team. During the brief, you learn the client wants
the pen test attack to simulate a normal user who finds ways to elevate privileges and
create attacks. Which test type does the client want?
A. White box
B. Gray box
C. Black box
D. Hybrid","B. A gray-box test is designed to replicate an inside attacker. Otherwise known as
the partial knowledge attack (don’t forget this term), the idea is to simulate a user onthe inside who might know a little about the network, directory structure, and other
resources in your enterprise. You’ll probably find this one to be the most enlighteningattack in out-briefing your clients in the real world—it’s amazing what you can get
to when you’re a trusted, inside user. As an aside, you’ll often find in the real worldthat gray-box testing can also refer to a test where any inside information is given toa pen tester—you don’t necessarily need to be a fully knowledgeable inside user. Inother words, if you have usable information handed to you about your client, you’reperforming gray-box testing."
150,"Which of the following is defined as ensuring the enforcement of organizational securitypolicy does not rely on voluntary user compliance by assigning sensitivity labels oninformation and comparing this to the level of security a user is operating at?
A. Mandatory access control
B. Authorized access control
C. Role-based access control
D. Discretionary access control","A. Access control is defined as the selective restraint of access to a resource, and there
are several overall mechanisms to accomplish this goal. Mandatory access control
(MAC) is one type that constrains the ability of a subject to access or perform an
operation on an object by assigning and comparing “sensitivity labels.” Suppose a
person (or a process) attempts to access or edit a file. With MAC, a label is placed onthe file indicating its security level. If the entity attempting to access it does not have
that level, or higher, then access is denied. With mandatory access control, security
is centrally controlled by a security policy administrator, and users do not have the
ability to override security settings.
This should not be confused with role-based access control (RBAC) systems,
which may actually use MAC to get the job done. The difference is in whether the
information itself has a labeled description or whether the person accessing it has
their own label. For example, in a classified area, the information classified as Top
Secret will have a label on it identifying it as such, while you, as an auditor, will
have your own clearance and need-to-know label allowing you to access certain
information. MAC is a property of an object; RBAC is a property of someone
accessing an object."
151,"Which of the following statements is true regarding the TCP three-way handshake?
A. The recipient sets the initial sequence number in the second step.
B. The sender sets the initial sequence number in the third step.
C. When accepting the communications request, the recipient responds with anacknowledgement and a randomly generated sequence number in the second step.
D. When accepting the communications request, the recipient responds with anacknowledgement and a randomly generated sequence number in the third step.","C. The three-way handshake will definitely show up on your exam, and in much
trickier wording than this. It’s easy enough to memorize “SYN, SYN/ACK, ACK,”
but you’ll need more than that for the exam.
In step 1, the host sends a segment to the server, indicating it wants to open a
communications session. Inside this segment, the host turns on the SYN flag and sets
an initial sequence number (any random 32-bit number). When the recipient gets
the segment, it crafts a segment in response to let the host know it’s open and readyfor the communications session. It does this by turning on the SYN and ACK flags,
acknowledging the initial sequence number by incrementing it, and adding its ownunique sequence number. Then, when the host gets this response back, it sends onemore segment before the comm channel opens. In this segment, it sets the ACK flagand acknowledges the other’s sequence number by incrementing it.
For example, suppose Host A is trying to open a channel with Server B. In this
example, Host A likes the sequence number 2000, while Server B likes 5000. The
first segment would look like this: SYN=1, ACK=0, ISN=2000. The response
segment would look like this: SYN=1, ACK=1, ISN=5000, ACK NO=2001. The
third and final segment would appear this way: SYN=0, ACK=1, SEQ NO=2001,
ACK NO=5001."
152,"Your network contains certain servers that typically fail once every five years. The total cost
of one of these servers is $1000. Server technicians are paid $40 per hour, and a typical
replacement requires two hours. Ten employees, earning an average of $20 per hour, relyon these servers, and even one of them going down puts the whole group in a wait stateuntil it’s brought back up. Which of the following represents the ARO for a server?
A. $296
B. $1480
C. $1000
D. 0.20","D. When performing business impact analysis (or any other value analysis for that
matter), the annualized loss expectancy (ALE) is an important measurement for everyasset. To compute the ALE, multiply the annualized rate of occurrence (ARO) by thesingle loss expectancy (SLE). The ARO is the frequency at which a failure occurs onan annual basis. In this example, servers fail once every five years, so the ARO wouldbe 1 failure / 5 years = 20 percent."
153,"An ethical hacker is given no prior knowledge of the network and has a specific frameworkin which to work. The agreement specifies boundaries, nondisclosure agreements, and acompletion date definition. Which of the following statements is true?
A. A white hat is attempting a black-box test.
B. A white hat is attempting a white-box test.
C. A black hat is attempting a black-box test.
D. A black hat is attempting a gray-box test.","A. I love these types of questions. Not only is this a two-for-one question, but it
involves identical but confusing descriptors, causing all sorts of havoc. The answer
to attacking such questions—and you will see them, by the way—is to take each
section one at a time. Start with what kind of hacker he is. He’s hired under a
specific agreement, with full knowledge and consent of the target, thus making hima white hat. That eliminates C and D right off the bat. Second, to address what
kind of test he’s performing, simply look at what he knows about the system. In this
instance, he has no prior knowledge at all (apart from the agreement), thus making
it a black-box test."
154,"Which of the following is a detective control?
A. Audit trail
B. CONOPS
C. Procedure
D. Smartcard authentication
E. Process","A. A detective control is an effort used to identify problems, errors, or (in the case of
post-attack discovery) cause or evidence of an exploited vulnerability—and an audit
log or trail is a perfect example. Ideally, detective controls should be in place andworking such that errors can be corrected as quickly as possible. Many compliance
laws and standards (the Sarbanes-Oxley Act of 2002 is one example) mandate the useof detective controls."
155,"As part of a pen test on a U.S. government system, you discover files containing Social
Security numbers and other sensitive personally identifiable information (PII). You
are asked about controls placed on the dissemination of this information. Which of the
following acts should you check?
A. FISMA
B. Privacy Act
C. PATRIOT Act
D. Freedom of Information Act","B. The Privacy Act of 1974 protects information of a personal nature, including
Social Security numbers. The Privacy Act defines exactly what “personal information”is, and it states that government agencies cannot disclose any personal informationabout an individual without that person’s consent. It also lists 12 exemptions for therelease of this information (for example, information that is part of a law enforcement
issue may be released). In other questions you see, keep in mind that the Privacy Act
generally will define the information that is not available to you during and after a test.
Dissemination and storage of private information needs to be closely controlled to keep you out of hot water. As a side note, how you obtain PII is oftentimes just as
important as how you protect it once discovered. In your real-world adventures, keep
the Wiretap Act (18 U.S. Code Chapter 119—Wire and Electronic Communications
Interception and Interception of Oral Communications) and others like it in mind. "
156,"In which step of the Cyber Kill Chain methodology would an adversary create a deliverable
malicious payload?
A. Command and Control (C2)
B. Weaponization
C. Installation
D. Exploitation","B. Originally developed from a military model by Lockheed Martin (https://
lockheedmartin.com/en-us/capabilities/cyber/cyber-kill-chain.html) seeking to
quantify how to identify, prepare to attack, engage, and destroy the cyber enemy
target, the Cyber Kill Chain is a methodology for tracing the stages of a cyberattack.
Covering everything from early reconnaissance to data exfiltration (or worse), it
has evolved to help security professionals better understand and combat adversarial
efforts. The methodology includes seven steps—Reconnaissance, Weaponization,
Delivery, Exploitation, Installation, Command and Control (C2), and Actions on
Objectives—detailing an attack from inception to closure. In the Weaponization
stage, adversaries create the deliverable malicious payload using an exploit, and in the
next stage, Delivery, they send it merrily along the way."
157,"An organization’s leadership is concerned about social engineering and hires a company to
provide training for all employees. How is the organization handling the risk associated
with social engineering?
A. They are accepting the risk.
B. They are avoiding the risk.
C. They are mitigating the risk.
D. They are transferring the risk.","C. When it comes to risks, there are four different methods of attempting to deal
with them. In risk mitigation, steps are taken to reduce the chance that the risk evenwill occur, and in this example that’s exactly what’s happening. Training on social
engineering should help reduce the likelihood an employee will fall victim (real-lifeconcerns on this notwithstanding—we are talking about test questions here)."
158,"In which phase of the ethical hacking methodology would a hacker be expected to discover
available targets on a network?
A. Reconnaissance
B. Scanning and enumeration
C. Gaining access
D. Maintaining access
E. Covering tracks","B. The scanning and enumeration phase is where you’ll use things such as
ping sweeps to discover available targets on the network. This step occurs after
reconnaissance. In this step, tools and techniques are actively applied to informationgathered during recon to obtain more in-depth information on the targets. For
example, reconnaissance may show a network subnet to have 500 or so machines
connected inside a single building, whereas scanning and enumeration would
discover which ones are Windows machines and which ones are running FTP. As an
aside, it’s important to remember these phases and definitions are exactly what you’ll
need to pass your exam, but in the real world, actions and findings don’t necessarily
fit cleanly into predefined roles and definitions."
159,"Which of the following was created to protect shareholders and the general public fromcorporate accounting errors and fraudulent practices as well as to improve the accuracy of
corporate disclosures?
A. GLBA
B. HIPAA
C. SOX
D. FITARA","C. The Sarbanes-Oxley Act (SOX; https://www.sec.gov/about/laws.shtml#sox2002)
introduced major changes to the regulation of financial practice and corporate
governance in 2002 and is arranged into 11 titles. SOX mandated a number of
reforms to enhance corporate responsibility, enhance financial disclosures, andcombat corporate and accounting fraud, and it created the “Public Company
Accounting Oversight Board,” also known as the PCAOB, to oversee the activities of
the auditing profession."
160,"Which of the following best defines a logical or technical control?
A. Air conditioning
B. Security tokens
C. Fire alarms
D. Security policy","B. A logical (or technical) control is one used for identification, authentication,
and authorization. It can be embedded inside an operating system, application,
or database management system. A security token (such as RSA’s SecureID) canprovide a number that changes on a recurring basis that a user must provide duringauthentication, or it may provide a built-in number on a USB device that must be
attached during authentication. A physical control is something, well, physical innature, such as a lock or key or maybe a guard."
161,"Which of the following was created to protect credit card data at rest and in transit in aneffort to reduce fraud?
A. TCSEC
B. Common Criteria
C. ISO 27002
D. PCI DSS","D. The Payment Card Industry Data Security Standard (PCI DSS) is a security
standard for organizations that handle credit cards. A council including American
Express, JCB, Discover, MasterCard, and Visa developed standards for the protectionand transmission of card data to reduce credit card fraud. It’s administered by the
Payment Card Industry Security Standards Council. Validation of compliance is
performed annually. The standard is composed of 12 requirements: • Requirement 1: Install and maintain firewall configuration to protect data. • Requirement 2: Remove vendor-supplied default passwords and other default
security features. • Requirement 3: Protect stored data. • Requirement 4: Encrypt transmission of cardholder data. • Requirement 5: Install, use, and update AV (antivirus). • Requirement 6: Develop secure systems and applications. • Requirement 7: Use “need to know” as a guideline to restrict access to data. • Requirement 8: Assign a unique ID to each stakeholder in the process (with
computer access). • Requirement 9: Restrict any physical access to the data. • Requirement 10: Monitor all access to data and network resources holding,
transmitting, or protecting it. • Requirement 11: Test security procedures and systems regularly. • Requirement 12: Create and maintain an information security policy"
162,"As part of the preparation phase for a pen test you are participating in, the client relays
their intent to discover security flaws and possible remediation. They seem particularlyconcerned about internal threats from the user base. Which of the following best describes
the test type the client is looking for?
A. Gray box
B. Black box
C. White hat
D. Black hat","A. Once again, this is a play on words the exam will throw at you. Note the questionis asking about a test type, not the attacker. Reviewing CEH documentation, you’ll
see there are three types of tests—white, black, and gray—with each designed totest a specific threat. White tests the internal threat of a knowledgeable systems
administrator or an otherwise elevated privilege level user. Black tests external threats
with no knowledge of the target. Gray tests the average internal user threat to exposepotential security problems inside the network."
163,"In which phase of the attack would a hacker set up and configure “zombie” machines?
A. Reconnaissance
B. Covering tracks
C. Gaining access
D. Maintaining access","D. Zombies are basically machines hackers commandeer to do their work for them.
If the attacker is really good, the owners of the zombie machines don’t even knowtheir machines have been drafted into the war. There are a bajillion methods for
maintaining access on a machine you’ve already compromised, and maintaining
that access does not necessarily mean the system will be used as a zombie—you
could, for example, simply want to check in from time to time to see what new juicy
information the user has decided to leave in a file or folder for you, or to check on
new logins, credentials, and so on. However, configuring zombie systems definitely
belongs in this phase"
164,"Which of the following should not be included in a security policy?
A. Policy exceptions
B. Details on noncompliance disciplinary actions
C. Technical details and procedures
D. Supporting document references","C. The whole policy/standard/procedure/guideline thing can get confusing sometimes. A policy is a high-level document that doesn’t get down and dirty into technical details/specifications and is intended to improve awareness. Policies are mandatory, generally short, and easy to understand, providing everyone with the rules of the road. Standards are mandatory rules designed to support a policy, and they must include one or more specifications for hardware, software, or behavior. Procedures are stepby-step instructions for completing a task. Guidelines are not mandatory but rather are recommendations for accomplishing a goal or on how to act in a given situation"
165,"Which of the following is best defined as a set of processes used to identify, analyze,
prioritize, and resolve security incidents?
A. Incident management
B. Vulnerability management
C. Change management
D. Patch management","A. Admittedly, this one is fairly easy—or at least it should be. Incident management
is the process of dealing with incidents and generally always has the same features/
steps—identify the problem or root cause, analyze and research the issue, containthe malicious effort, eradicate the effort, and resolve any damage caused. ECCdefines the process as having eight steps: 1. Preparation, 2. Detection and Analysis,
3. Classification/Prioritization, 4. Notification, 5. Containment, 6. Forensic
Investigation, 7. Eradication and Recovery, and 8. Post-incident Activities. The
incident response team (IRT) is charged with handling this process."
166,"During an assessment, your pen test team discovers child porn on a system. Which of the
following is the appropriate response?
A. Continue testing and report findings at the out-brief.
B. Continue testing but report findings to the business owners.
C. Cease testing immediately and refuse to continue work for the client.
D. Cease testing immediately and contact authorities","D. I hesitated to add this question, for reasons that are obvious and some that aren’t,
but in the interest of covering everything, I felt I must. First and foremost, in the real
world, discovery of something that you think might be illegal activity puts you and
your team in a very, very tricky spot. Should you accuse fill-in-the-blank of a crime
and involve the authorities, you could be setting yourself up for lawsuits and all sorts
of trouble. On the other hand, if you ignore it, you might be found complicit, or
at the very least negligent. In the real world, the answer is to make sure your scope
agreement advises you and the client of your duty regarding potential criminal
activity found during the scope of your investigation. No guessing is allowed—it
better be iron-clad evidence, obvious to all, or you’re in a world of hurt. Finally, what
potentially illegal activity you discover may determine your response regardless of the
ROE (rules of engagement). If you discover child porn, you could be guilty of a crime
for not reporting it, which isn’t necessarily true for many other crimes. For example,
if you witness someone breaking into a house across your street, or were performing
a pen test and reasonably suspected someone had already compromised the network,
you are not compelled by law, in most states, to notify authorities. However, if you
witness bodily harm, you likely would be compelled by law in most states. Speaking
purely academically, it’s fairly clear cut and will be so on your exam. In the real world,
the true answer is to know the laws regarding your testing very well, and make sure
your team has a good lawyer.
In this example, however, the choices present make this relatively easy. ECC wants
ethical hackers to report any illegal activity they find. Period. Possession of child
porn is a crime no matter what, so again in this particular case, stop your testing and
report it to the authorities."
167,"Which of the following best describes an intranet zone?
A. A zone with few heavy security restrictions
B. A highly secured zone, usually employing VLANs and encrypted communication
channels
C. A controlled buffer network between public and private networks
D. A very restricted zone with no users","A. An intranet can be thought of, for testing purposes, as your own happy little
networking safe space. It’s protected from outside attacks and interference by the
DMZ and all the layers of security on the outside. Internally, you don’t assign loads
of heavy security restrictions, because, as explained in the security versus usabilitydiscussion in the CEH All-in-One Exam Guide, Fifth Edition, as security increases,
usability and functionality decrease. If your organization’s users are on the intranet,
you want them as productive as possible, right?"
168,"A machine in your environment uses an open X-server to allow remote access. The
X-server access control is disabled, allowing connections from almost anywhere and with
little to no authentication measures. Which of the following are true statements regarding
this situation? (Choose all that apply.)
A. An external vulnerability can take advantage of the misconfigured X-server threat.
B. An external threat can take advantage of the misconfigured X-server vulnerability.
C. An internal vulnerability can take advantage of the misconfigured X-server threat.
D. An internal threat can take advantage of the misconfigured X-server vulnerability.
","B, D. This is an easy one because all you have to understand are the definitions of
threat and vulnerability. A threat is any agent, circumstance, or situation that couldpotentiality cause harm or loss to an IT asset. In this case, the implication is the
threat is an individual (hacker) either inside or outside the network. A vulnerability
is any weakness, such as a software flaw or logic design, that could be exploited bya threat to cause damage to an asset. In both these answers, the vulnerability—the
access controls on the X-server are not in place—can be exploited by the threat,
whether internal or external."
169,"Which of the following best describes forensic evidence indicating a potential intrusion
or malicious activity?
A. TTP
B. IOC
C. APT
D. ABI","B. An indicator of compromise (IOC) describes the little clues and artifacts left
behind on a resource that can indicate malicious intrusion or activity. Their existence
in and of themselves might not mean anything; however, searching for known IOCs
in your network can be a valuable security exercise to undertake. IOCs can come in
many forms, some of which include privileged user activity anomalies, strange DNS
requests, conflicting port application traffic, unusual registry or system file changes,
and suspect web traffic and unusual network activity."
170,"Your team is hired to test a business named Matt’s Bait ’n’ Tackle Shop (domain name
mattsBTshop.com). A team member runs the following command:
metagoofil -d mattsBTshop.com -t doc,docx -l 50 -n 20 -f results.html
Which of the following best describes what the team member is attempting to do?
A. Extracting metadata info from web pages in mattsBTshop.com, outputting results in
Microsoft Word format
B. Extracting metadata info from the results.html page in mattsBTshop.com, outputting
results in Microsoft Word format
C. Extracting metadata info from Microsoft Word documents found in mattsBTshop.com,
outputting results in an HTML file
D. Uploading results.html as a macro attachment to any Microsoft Word documents
found in mattsBTshop.com","C. This is an example of good tool knowledge and use. Metagoofil, per www
.edge-security.com/metagoofil.php, “is an information gathering tool designed
for extracting metadata of public documents (.pdf, .doc, .xls, .ppt, .docx, .pptx,
.xlsx) belonging to a target company. It performs a search in Google to identify
and download the documents to local disk and then will extract the metadata with
different libraries like Hachoir, PdfMiner and others. With the results it will generate
a report with usernames, software versions and servers or machine names that will
help Penetration testers in the information gathering phase.”
In the syntax given, Metagoofil will search mattsBTshop.com for up to 50 results
(the -l switch determines the number of results) for any Microsoft Word documents
(both .doc and .docx formats) it can find. It will then attempt to download the first
20 found (the -n switch handles that), and the -f switch will send the results where
you want (in this case, to an HTML file).
And just what will those results be? Well, that’s where the fun comes in. Remember,
Metagoofil tries to extract metadata from publicly available Microsoft Word documents
available on the site. You might find e-mail addresses, document paths, software
versions, and even usernames in the results."
171,"You are running multiple enumeration scans as part of an assessment. In one particular
scan, you have nmap send an initial FIN packet followed immediately by an ACK packet.
Which of the following best describes the type of scan you are running?
A. Inverse TCP
B. TCP Maimon
C. XMAS
D. Half-closed","B. According to nmap’s documentation on the scan (https://nmap.org/book/scanmethods-maimon-scan.html), way back in 1996 a gentleman named Uriel Maimonwrote an article titled “Port Scanning without the SYN flag.” The article describedsending an initial FIN packet followed by an ACK packet, using discrepancies
between their TTL values to evaluate ports.
EC-Council added TCP Maimon back to the official courseware and obviously wants
you to know about it. Per the study material, if the port is open, you won’t get a
response; however, if it’s in a closed state, you’ll receive a RST packet."
172,"You have a zombie system ready and begin an IDLE scan. As the scan moves along,
you notice that fragment identification numbers gleaned from the zombie machine are
incrementing randomly. What does this mean?
A. Your IDLE scan results will not be useful to you.
B. The zombie system is a honeypot.
C. There is a misbehaving firewall between you and the zombie machine.
D. This is an expected result during an IDLE scan.","A. An IDLE scan makes use of a zombie machine and IP’s knack for incrementingfragment identifiers (IPIDs). However, it is absolutely essential the zombie remainidle to all other traffic during the scan. The attacker will send packets to the target
with the (spoofed) source address of the zombie. If the port is open, the target will
respond to the SYN packet with a SYN/ACK, but this will be sent to the zombie. Thezombie system will then craft a RST packet in answer to the unsolicited SYN/ACK,
and the IPID will increase. If this occurs randomly, then it’s probable your zombie is
not in fact idle, and your results are moot. See, if it’s not idle, it’s going to increment
haphazardly because communications from the device will be shooting hither andyon with wild abandon. You’re banking on the fact the machine is quietly doing your
bidding—and nothing else."
173,"You want to perform a ping sweep of a subnet within your target organization. Which of
the following nmap command lines is your best option?
A. nmap 192.168.1.0/24
B. nmap -sT 192.168.1.0/24
C. nmap -sP 192.168.1.0/24
D. nmap -P0 192.168.1.0/24","C. The -sP switch within nmap is designed for a ping sweep. Nmap syntax is fairly
straightforward: nmap<scan options><target>. If you don’t define a switch, nmap
performs a basic enumeration scan of the targets. The switches, though, provide the
real power with this tool."
174,"A pen tester is performing banner grabbing and executes the following command:
$ nmap -sV host.domain.com -p 80
He gets the following output:
Starting Nmap 6.47 ( http://nmap.org ) at 2022-07-08 19:10 EST
Nmap scan report for host.domain.com (108.61.158.211)
Host is up (0.032s latency).
PORT STATE SERVICE VERSION
80/tcp open http Apache httpd
Service detection performed. Please report any incorrect results athttp://nmap.org/submit/.
VCEConvert.com
Nmap done: 1 IP address (1 host up) scanned in 6.42 seconds
Which of the following is a true statement?
A. Nmap can’t perform banner grabbing, as it cannot retrieve the version number of anyrunning remote service.
B. The pen tester was successful in banner grabbing.
C. Using nmap -O host.domain.com would have been a better choice for banner grabbing.
D. Banner grabbing failed because the result did not return the version of the Apache
web server.","B. You can expect a few versions of this type of question on your exam. Not only arethere bunches of ways to do banner grabbing, but the outputs of each method are
different. In this case, the nmap attempt was successful in identifying an Apache server"
175,"You are examining traffic to see if there are any network-enabled printers on the subnet.
Which of the following ports should you be monitoring for?
A. 53
B. 88
C. 445
D. 514
E. 631","E. You will probably see three to five questions on port numbering alone. So just
exactly how do you commit 1024 port numbers (0–1023 is the well-known range) tomemory when you have all this other stuff to keep track of? You probably won’t, andmaybe you can’t. The best advice I can give you is to memorize the really important
ones—the ones you know beyond a shadow of a doubt you’ll see on the examsomewhere—and then use the process of elimination to get to the right answer.
For example, suppose you had no idea that TCP port 631 was used by the Internet
Printing Protocol (IPP), but you did know what 53, 88, and 445 were for. Suddenlyit’s not that difficult (now down to a 50/50 chance). By the way, 631 won’t be the
only thing you’ll be monitoring for, but of the answers provided, it is the best choice."
176,"A colleague enters the following command:
root@mybox: # hping3 -A 192.168.2.x -p 80
What is being attempted here?
A. An ACK scan using hping3 on port 80 for a single address
B. An ACK scan using hping3 on port 80 for a group of addresses
C. Address validation using hping3 on port 80 for a single address
D. Address validation using hping3 on port 80 for a group of addresses","B. Hping is a great tool that provides a variety of options. You can craft packets with it,
audit and test firewalls, and do all sorts of crazy man-in-the-middle stuff with it. In this
example, you’re simply performing a basic ACK scan (the -A switch) using port 80 (-p 80)
on an entire Class C subnet (the x in the address runs through all 254 possibilities).
Hping3, the latest version, is scriptable (TCL language) and implements an engine
that allows a human-readable description of TCP/IP packets."
